Product Name,Brand Name,Price,Rating,Reviews,Review Votes,
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,"199,99",5,"I feel so LUCKY to have found this used (phone to us & not used hard at all), phone on line from someone who upgraded and sold this one. My Son liked his old one that finally fell apart after 2.5+ years and didn't want an upgrade!! Thank you Seller, we really appreciate it & your honesty re: said used phone.I recommend this seller very highly & would but from them again!!",1,
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,"199,99",4,"nice phone, nice up grade from my pantach revue. Very clean set up and easy set up. never had an android phone but they are fantastic to say the least. perfect size for surfing and social media. great phone samsung",0,
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,"199,99",5,Very pleased,0,
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,"199,99",4,It works good but it goes slow sometimes but its a very good phone I love it,0,
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,"199,99",4,"Great phone to replace my lost phone. The only thing is the volume up button does not work, but I can still go into settings to adjust. Other than that, it does the job until I am eligible to upgrade my phone again.Thaanks!",0,
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299,5,"Excellent phone has all the special functions to be communicated with all social networks, excellent operational...I recommend it 100% excellent product",0,
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299,1,"Do not buy it!. It feels like a pretended toy in your hand. If you want it for your kids, it's ok!.",0,
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299,5,"Excellent phone, for adults recommend. . WhatsApp, Internet , app, radio, keyboard qwerty easy for use. Display big visualiser. Funny",1,
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299,5,"I have enjoyed my Nokia C3 phone for a few years, but it was tired and needed an update. This Asha 302 phone is just that - all of the Symbian S40 simple goodness, with a much higher quality set of hardware. The screen is sharper, processor faster, phone takes nice clear pictures that are pretty much good enough, the ring and alert tones are more discreet and professional. The internet and mail stuff is actually useable on T-Mobile's 3.5G network and requires very little data to stay connected on a minumal plan. Strangely, I cannot it do wifi yet ... it receives the signal but just insists on using network data or nothing at all. Probably a setting in the menu I have not toggled to the right setting. Anyway - if you want a phone that texts very easily, has a 4-day battery, a very convenient and useable features, and yet not crack open the crack-pipe of the internet constanly, the Asha 302 does it with style and then some. I may get myself another one or two for the future, as I bet this is the end-run for this type of practical phone.",1,
Apple iPhone 5c 32GB (Green) - Sprint,Apple,"133,89",5,"Nice phone, as described. Very happy!",0,
Apple iPhone 5c 32GB (Green) - Sprint,Apple,"133,89",1,The SIM card reader is messed up so it keeps sayin invalid sim,0,
Apple iPhone 5c 32GB (Green) - Sprint,Apple,"133,89",5,"Great price, great product! Brand new iPhone for a really good price!",0,
Apple iPhone 5c 32GB (Green) - Sprint,Apple,"133,89",5,"Great phone, great service despite not reading the fine print that it doesn't come with a SIM card. Easy fix from my phone carrier and after a friendly email exchange from the shipping carrier all was taken care of.",0,
Apple iPhone 5c 32GB (Green) - Sprint,Apple,"133,89",5,Great condition!,0,
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,BLU,139,5,"For the price you pay, you cannot go wrong, this is a very nice phone a beautiful sleek design and it feels good to the touch plus it has all the features I need in a daily driver also you need not worry to much about constant re-charging obviously...well that's my 5 cents on this device.",1,
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,BLU,139,5,"Funny story with this one. My first phone was stolen off my porch so i had to report it stolen and buy another replacement then once i got my replacement phone my son decided it needed a cranberry juice bath before i even had a chance to activated it. So needless to say it was no good anymore. i put in a drawer a year later i took it out and plugged it in to see what would happen and to my surprise it started to charge, and i have been using it ever since. Even after being soaked in juice and not working for forever it is working now and i love it. Absolutely no complaints",0,
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,BLU,139,5,I loved it. Its a great phone,0,
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,BLU,139,4,Alright,0,
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,BLU,139,4,It crashes a lot but restart seems to fix it.,0,
